"","Dataset","Subject","Activity","Measurement","Value"
"896","test","4","WALKING_DOWNSTAIRS","fBodyGyro-mean-Z",-0.318306481022222
"897","test","4","WALKING_DOWNSTAIRS","fBodyGyro-mean-Z.1",0.3770740968
"898","test","4","WALKING_DOWNSTAIRS","fBodyGyro-std-X",-0.414919000955556
"899","test","4","WALKING_DOWNSTAIRS","fBodyGyro-std-Y",-0.691518367333333
"900","test","4","WALKING_DOWNSTAIRS","fBodyGyro-std-Z",-0.621658471333333
"901","test","4","WALKING_DOWNSTAIRS","fBodyGyroJerkMag-mean",-0.621752455777778
"902","test","4","WALKING_DOWNSTAIRS","fBodyGyroJerkMag-mean.1",0.144436925733333
"903","test","4","WALKING_DOWNSTAIRS","fBodyGyroJerkMag-std",-0.685470931777778
"904","test","4","WALKING_DOWNSTAIRS","fBodyGyroMag-mean",-0.429213369555556
"905","test","4","WALKING_DOWNSTAIRS","fBodyGyroMag-mean.1",0.0600292045888889
"906","test","4","WALKING_DOWNSTAIRS","fBodyGyroMag-std",-0.457674088
"907","test","4","WALKING_DOWNSTAIRS","tBodyAcc-mean-X",0.279965329555556
"908","test","4","WALKING_DOWNSTAIRS","tBodyAcc-mean-Y",-0.00980200850666667
"909","test","4","WALKING_DOWNSTAIRS","tBodyAcc-mean-Z",-0.1067775246
"910","test","4","WALKING_DOWNSTAIRS","tBodyAcc-std-X",0.0111935496222222
"911","test","4","WALKING_DOWNSTAIRS","tBodyAcc-std-Y",-0.21859832499
"912","test","4","WALKING_DOWNSTAIRS","tBodyAcc-std-Z",-0.479185977111111
"913","test","4","WALKING_DOWNSTAIRS","tBodyAccJerk-mean-X",0.0971862748866667
"914","test","4","WALKING_DOWNSTAIRS","tBodyAccJerk-mean-Y",0.00563780215111111
"915","test","4","WALKING_DOWNSTAIRS","tBodyAccJerk-mean-Z",-0.00729137766444444
"916","test","4","WALKING_DOWNSTAIRS","tBodyAccJerk-std-X",-0.145759708684667
"917","test","4","WALKING_DOWNSTAIRS","tBodyAccJerk-std-Y",-0.146242294857778
"918","test","4","WALKING_DOWNSTAIRS","tBodyAccJerk-std-Z",-0.626646986888889
"919","test","4","WALKING_DOWNSTAIRS","tBodyAccJerkMag-mean",-0.228851413747333
"920","test","4","WALKING_DOWNSTAIRS","tBodyAccJerkMag-std",-0.216858921977778
"921","test","4","WALKING_DOWNSTAIRS","tBodyAccMag-mean",-0.0491616726733333
"922","test","4","WALKING_DOWNSTAIRS","tBodyAccMag-std",-0.0819559041111111
"923","test","4","WALKING_DOWNSTAIRS","tBodyGyro-mean-X",-0.102838822533333
"924","test","4","WALKING_DOWNSTAIRS","tBodyGyro-mean-Y",-0.0704025952333333
"925","test","4","WALKING_DOWNSTAIRS","tBodyGyro-mean-Z",0.05926394948
"926","test","4","WALKING_DOWNSTAIRS","tBodyGyro-std-X",-0.370244695288889
"927","test","4","WALKING_DOWNSTAIRS","tBodyGyro-std-Y",-0.699453537111111
"928","test","4","WALKING_DOWNSTAIRS","tBodyGyro-std-Z",-0.498480800444444
"929","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerk-mean-X",-0.0921282734666667
"930","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerk-mean-Y",-0.0348434913444444
"931","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerk-mean-Z",-0.0492836435688889
"932","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerk-std-X",-0.395995494444444
"933","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerk-std-Y",-0.816858240222222
"934","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerk-std-Z",-0.325780073711111
"935","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerkMag-mean",-0.592843014888889
"936","test","4","WALKING_DOWNSTAIRS","tBodyGyroJerkMag-std",-0.637079543555556
"937","test","4","WALKING_DOWNSTAIRS","tBodyGyroMag-mean",-0.3466062928
"938","test","4","WALKING_DOWNSTAIRS","tBodyGyroMag-std",-0.3805726254
"939","test","4","WALKING_DOWNSTAIRS","tGravityAcc-mean-X",0.947731858666667
"940","test","4","WALKING_DOWNSTAIRS","tGravityAcc-mean-Y",-0.0620852772955556
"941","test","4","WALKING_DOWNSTAIRS","tGravityAcc-mean-Z",0.148714808888889
"942","test","4","WALKING_DOWNSTAIRS","tGravityAcc-std-X",-0.955258881333333
"943","test","4","WALKING_DOWNSTAIRS","tGravityAcc-std-Y",-0.932066041111111
"944","test","4","WALKING_DOWNSTAIRS","tGravityAcc-std-Z",-0.937753794444444
"945","test","4","WALKING_DOWNSTAIRS","tGravityAccMag-mean",-0.0491616726733333
"946","test","4","WALKING_DOWNSTAIRS","tGravityAccMag-std",-0.0819559041111111
"947","test","4","WALKING_UPSTAIRS","a(tBodyAccJerkMean),gravityMean)",-0.00506236538461539
"948","test","4","WALKING_UPSTAIRS","a(tBodyAccMean,gravity)",0.0592051541692308
"949","test","4","WALKING_UPSTAIRS","a(tBodyGyroJerkMean,gravityMean)",0.0535172503461538
"950","test","4","WALKING_UPSTAIRS","a(tBodyGyroMean,gravityMean)",-0.246559359423077
"951","test","4","WALKING_UPSTAIRS","a(X,gravityMean)",-0.775483533076923
"952","test","4","WALKING_UPSTAIRS","a(Y,gravityMean)",0.243389231923077
"953","test","4","WALKING_UPSTAIRS","a(Z,gravityMean)",-0.0368022039115385
"954","test","4","WALKING_UPSTAIRS","fBodyAcc-mean-X",-0.294488270365385
"955","test","4","WALKING_UPSTAIRS","fBodyAcc-mean-X.1",-0.486811749615385
"956","test","4","WALKING_UPSTAIRS","fBodyAcc-mean-Y",-0.117109161492308
"957","test","4","WALKING_UPSTAIRS","fBodyAcc-mean-Y.1",-0.0662348475480769
"958","test","4","WALKING_UPSTAIRS","fBodyAcc-mean-Z",-0.524655722692308
"959","test","4","WALKING_UPSTAIRS","fBodyAcc-mean-Z.1",-0.230536706554615
"960","test","4","WALKING_UPSTAIRS","fBodyAcc-std-X",-0.173217219014423
"961","test","4","WALKING_UPSTAIRS","fBodyAcc-std-Y",-0.101434446040385
"962","test","4","WALKING_UPSTAIRS","fBodyAcc-std-Z",-0.345109817692308
"963","test","4","WALKING_UPSTAIRS","fBodyAccJerk-mean-X",-0.418304647307692
"964","test","4","WALKING_UPSTAIRS","fBodyAccJerk-mean-X.1",-0.379653611346154
"965","test","4","WALKING_UPSTAIRS","fBodyAccJerk-mean-Y",-0.297805187243462
"966","test","4","WALKING_UPSTAIRS","fBodyAccJerk-mean-Y.1",-0.39270192625
"967","test","4","WALKING_UPSTAIRS","fBodyAccJerk-mean-Z",-0.690106934230769
"968","test","4","WALKING_UPSTAIRS","fBodyAccJerk-mean-Z.1",-0.319649297096154
"969","test","4","WALKING_UPSTAIRS","fBodyAccJerk-std-X",-0.396762584807692
"970","test","4","WALKING_UPSTAIRS","fBodyAccJerk-std-Y",-0.314525030788462
"971","test","4","WALKING_UPSTAIRS","fBodyAccJerk-std-Z",-0.762772175
"972","test","4","WALKING_UPSTAIRS","fBodyAccJerkMag-mean",-0.397406285
"973","test","4","WALKING_UPSTAIRS","fBodyAccJerkMag-mean.1",0.0497462736942308
"974","test","4","WALKING_UPSTAIRS","fBodyAccJerkMag-std",-0.497324087307692
"975","test","4","WALKING_UPSTAIRS","fBodyAccMag-mean",-0.276825498230769
"976","test","4","WALKING_UPSTAIRS","fBodyAccMag-mean.1",-0.108017171661154
"977","test","4","WALKING_UPSTAIRS","fBodyAccMag-std",-0.301005898461538
"978","test","4","WALKING_UPSTAIRS","fBodyGyro-mean-X",-0.3710689925
"979","test","4","WALKING_UPSTAIRS","fBodyGyro-mean-X.1",-0.206073104096154
"980","test","4","WALKING_UPSTAIRS","fBodyGyro-mean-Y",-0.684310201538462
"981","test","4","WALKING_UPSTAIRS","fBodyGyro-mean-Y.1",-0.491527600961538
"982","test","4","WALKING_UPSTAIRS","fBodyGyro-mean-Z",-0.350765737115385
"983","test","4","WALKING_UPSTAIRS","fBodyGyro-mean-Z.1",-0.130134208057692
"984","test","4","WALKING_UPSTAIRS","fBodyGyro-std-X",-0.483548693461538
"985","test","4","WALKING_UPSTAIRS","fBodyGyro-std-Y",-0.489824279230769
"986","test","4","WALKING_UPSTAIRS","fBodyGyro-std-Z",-0.424533512307692
"987","test","4","WALKING_UPSTAIRS","fBodyGyroJerkMag-mean",-0.740749226346154
"988","test","4","WALKING_UPSTAIRS","fBodyGyroJerkMag-mean.1",0.179517012258654
"989","test","4","WALKING_UPSTAIRS","fBodyGyroJerkMag-std",-0.794209483076923
"990","test","4","WALKING_UPSTAIRS","fBodyGyroMag-mean",-0.575794072115385
"991","test","4","WALKING_UPSTAIRS","fBodyGyroMag-mean.1",-0.150274479246154
"992","test","4","WALKING_UPSTAIRS","fBodyGyroMag-std",-0.552489628846154
"993","test","4","WALKING_UPSTAIRS","tBodyAcc-mean-X",0.270876696730769
"994","test","4","WALKING_UPSTAIRS","tBodyAcc-mean-Y",-0.0319804295729615
"995","test","4","WALKING_UPSTAIRS","tBodyAcc-mean-Z",-0.114219455519231
"996","test","4","WALKING_UPSTAIRS","tBodyAcc-std-X",-0.204933042903846
"997","test","4","WALKING_UPSTAIRS","tBodyAcc-std-Y",-0.0666899105180769
"998","test","4","WALKING_UPSTAIRS","tBodyAcc-std-Z",-0.372137777692308
"999","test","4","WALKING_UPSTAIRS","tBodyAccJerk-mean-X",0.0560971909634615
"1000","test","4","WALKING_UPSTAIRS","tBodyAccJerk-mean-Y",0.0234018993153846
"1001","test","4","WALKING_UPSTAIRS","tBodyAccJerk-mean-Z",0.00340280836730769
"1002","test","4","WALKING_UPSTAIRS","tBodyAccJerk-std-X",-0.380488027307692
"1003","test","4","WALKING_UPSTAIRS","tBodyAccJerk-std-Y",-0.281543175326923
"1004","test","4","WALKING_UPSTAIRS","tBodyAccJerk-std-Z",-0.726495311923077
"1005","test","4","WALKING_UPSTAIRS","tBodyAccJerkMag-mean",-0.400922254807692
"1006","test","4","WALKING_UPSTAIRS","tBodyAccJerkMag-std",-0.437261477884615
"1007","test","4","WALKING_UPSTAIRS","tBodyAccMag-mean",-0.153703935357692
"1008","test","4","WALKING_UPSTAIRS","tBodyAccMag-std",-0.212012300480769
"1009","test","4","WALKING_UPSTAIRS","tBodyGyro-mean-X",0.0393825198942308
"1010","test","4","WALKING_UPSTAIRS","tBodyGyro-mean-Y",-0.0859471683596154
"1011","test","4","WALKING_UPSTAIRS","tBodyGyro-mean-Z",0.0843753843384615
"1012","test","4","WALKING_UPSTAIRS","tBodyGyro-std-X",-0.454431043269231
"1013","test","4","WALKING_UPSTAIRS","tBodyGyro-std-Y",-0.551185569230769
"1014","test","4","WALKING_UPSTAIRS","tBodyGyro-std-Z",-0.360811047884615
"1015","test","4","WALKING_UPSTAIRS","tBodyGyroJerk-mean-X",-0.1314720713
"1016","test","4","WALKING_UPSTAIRS","tBodyGyroJerk-mean-Y",-0.0390508828865385
"1017","test","4","WALKING_UPSTAIRS","tBodyGyroJerk-mean-Z",-0.0722496260807692
"1018","test","4","WALKING_UPSTAIRS","tBodyGyroJerk-std-X",-0.533666803846154
"1019","test","4","WALKING_UPSTAIRS","tBodyGyroJerk-std-Y",-0.840722752692308
"1020","test","4","WALKING_UPSTAIRS","tBodyGyroJerk-std-Z",-0.556236584807692
"1021","test","4","WALKING_UPSTAIRS","tBodyGyroJerkMag-mean",-0.686978374423077
"1022","test","4","WALKING_UPSTAIRS","tBodyGyroJerkMag-std",-0.755270457692308
"1023","test","4","WALKING_UPSTAIRS","tBodyGyroMag-mean",-0.299779407884615
"1024","test","4","WALKING_UPSTAIRS","tBodyGyroMag-std",-0.510974134423077
"1025","test","4","WALKING_UPSTAIRS","tGravityAcc-mean-X",0.946264314423077
"1026","test","4","WALKING_UPSTAIRS","tGravityAcc-mean-Y",-0.232944304615385
"1027","test","4","WALKING_UPSTAIRS","tGravityAcc-mean-Z",0.0841675382884615
"1028","test","4","WALKING_UPSTAIRS","tGravityAcc-std-X",-0.958495235576923
"1029","test","4","WALKING_UPSTAIRS","tGravityAcc-std-Y",-0.923376019038462
"1030","test","4","WALKING_UPSTAIRS","tGravityAcc-std-Z",-0.919619453269231
"1031","test","4","WALKING_UPSTAIRS","tGravityAccMag-mean",-0.153703935357692
"1032","test","4","WALKING_UPSTAIRS","tGravityAccMag-std",-0.212012300480769
"1033","test","9","LAYING","a(tBodyAccJerkMean),gravityMean)",-0.021817851338
"1034","test","9","LAYING","a(tBodyAccMean,gravity)",0.000991077232
"1035","test","9","LAYING","a(tBodyGyroJerkMean,gravityMean)",0.018204470058
"1036","test","9","LAYING","a(tBodyGyroMean,gravityMean)",0.052062224042
"1037","test","9","LAYING","a(X,gravityMean)",0.6688739754
"1038","test","9","LAYING","a(Y,gravityMean)",0.1707890725
"1039","test","9","LAYING","a(Z,gravityMean)",-0.873649367
"1040","test","9","LAYING","fBodyAcc-mean-X",-0.946865494
"1041","test","9","LAYING","fBodyAcc-mean-X.1",-0.4459627774628
"1042","test","9","LAYING","fBodyAcc-mean-Y",-0.9343665984
"1043","test","9","LAYING","fBodyAcc-mean-Y.1",-0.215336752654
"1044","test","9","LAYING","fBodyAcc-mean-Z",-0.9459190006
"1045","test","9","LAYING","fBodyAcc-mean-Z.1",0.17810728092
"1046","test","9","LAYING","fBodyAcc-std-X",-0.9409810272
"1047","test","9","LAYING","fBodyAcc-std-Y",-0.9128367508
"1048","test","9","LAYING","fBodyAcc-std-Z",-0.9419711636
"1049","test","9","LAYING","fBodyAccJerk-mean-X",-0.964304065
"1050","test","9","LAYING","fBodyAccJerk-mean-X.1",-0.08503093738
"1051","test","9","LAYING","fBodyAccJerk-mean-Y",-0.9640828062
"1052","test","9","LAYING","fBodyAccJerk-mean-Y.1",-0.227093669698
"1053","test","9","LAYING","fBodyAccJerk-mean-Z",-0.955909215
"1054","test","9","LAYING","fBodyAccJerk-mean-Z.1",-0.094374360132
"1055","test","9","LAYING","fBodyAccJerk-std-X",-0.9686013042
"1056","test","9","LAYING","fBodyAccJerk-std-Y",-0.966634136
"1057","test","9","LAYING","fBodyAccJerk-std-Z",-0.9597147176
"1058","test","9","LAYING","fBodyAccJerkMag-mean",-0.9543205856
"1059","test","9","LAYING","fBodyAccJerkMag-mean.1",0.1670029826292
"1060","test","9","LAYING","fBodyAccJerkMag-std",-0.9550947122
"1061","test","9","LAYING","fBodyAccMag-mean",-0.9266042952
"1062","test","9","LAYING","fBodyAccMag-mean.1",-0.085609052452
"1063","test","9","LAYING","fBodyAccMag-std",-0.921929738394
"1064","test","9","LAYING","fBodyGyro-mean-X",-0.930297921
"1065","test","9","LAYING","fBodyGyro-mean-X.1",-0.23069917904112
"1066","test","9","LAYING","fBodyGyro-mean-Y",-0.9345796594
"1067","test","9","LAYING","fBodyGyro-mean-Y.1",-0.321206958058
"1068","test","9","LAYING","fBodyGyro-mean-Z",-0.9598150092
"1069","test","9","LAYING","fBodyGyro-mean-Z.1",-0.055125413678
"1070","test","9","LAYING","fBodyGyro-std-X",-0.9463891504
"1071","test","9","LAYING","fBodyGyro-std-Y",-0.9231319366
"1072","test","9","LAYING","fBodyGyro-std-Z",-0.965686312
"1073","test","9","LAYING","fBodyGyroJerkMag-mean",-0.9558062546
"1074","test","9","LAYING","fBodyGyroJerkMag-mean.1",-0.016201378678
"1075","test","9","LAYING","fBodyGyroJerkMag-std",-0.9522904702
"1076","test","9","LAYING","fBodyGyroMag-mean",-0.9186053356
"1077","test","9","LAYING","fBodyGyroMag-mean.1",-0.20634356866
"1078","test","9","LAYING","fBodyGyroMag-std",-0.9034005814
"1079","test","9","LAYING","tBodyAcc-mean-X",0.2591955368
"1080","test","9","LAYING","tBodyAcc-mean-Y",-0.020526821662
"1081","test","9","LAYING","tBodyAcc-mean-Z",-0.10754972144
"1082","test","9","LAYING","tBodyAcc-std-X",-0.94233309
"1083","test","9","LAYING","tBodyAcc-std-Y",-0.9162927764
"1084","test","9","LAYING","tBodyAcc-std-Z",-0.9407072854
"1085","test","9","LAYING","tBodyAccJerk-mean-X",0.08807344764
"1086","test","9","LAYING","tBodyAccJerk-mean-Y",0.011561732718
"1087","test","9","LAYING","tBodyAccJerk-mean-Z",-0.0070536778584
"1088","test","9","LAYING","tBodyAccJerk-std-X",-0.9647404702
"1089","test","9","LAYING","tBodyAccJerk-std-Y",-0.9639966798
"1090","test","9","LAYING","tBodyAccJerk-std-Z",-0.958562455
"1091","test","9","LAYING","tBodyAccJerkMag-mean",-0.9633745492
"1092","test","9","LAYING","tBodyAccJerkMag-std",-0.9550268052
"1093","test","9","LAYING","tBodyAccMag-mean",-0.9308684376
"1094","test","9","LAYING","tBodyAccMag-std",-0.91512680016
"1095","test","9","LAYING","tBodyGyro-mean-X",-0.013632036148
"1096","test","9","LAYING","tBodyGyro-mean-Y",-0.15890291983
"1097","test","9","LAYING","tBodyGyro-mean-Z",0.101275010682
"1098","test","9","LAYING","tBodyGyro-std-X",-0.9422465098
"1099","test","9","LAYING","tBodyGyro-std-Y",-0.9266185314
"1100","test","9","LAYING","tBodyGyro-std-Z",-0.9615953704
"1101","test","9","LAYING","tBodyGyroJerk-mean-X",-0.10384667982
"1102","test","9","LAYING","tBodyGyroJerk-mean-Y",-0.027552256948
"1103","test","9","LAYING","tBodyGyroJerk-mean-Z",-0.0569490475
"1104","test","9","LAYING","tBodyGyroJerk-std-X",-0.945329035
"1105","test","9","LAYING","tBodyGyroJerk-std-Y",-0.9621702422
"1106","test","9","LAYING","tBodyGyroJerk-std-Z",-0.9770761602
"1107","test","9","LAYING","tBodyGyroJerkMag-mean",-0.964524819
"1108","test","9","LAYING","tBodyGyroJerkMag-std",-0.9528015598
"1109","test","9","LAYING","tBodyGyroMag-mean",-0.9071250998
"1110","test","9","LAYING","tBodyGyroMag-std",-0.8985578738
"1111","test","9","LAYING","tGravityAcc-mean-X",-0.5802528348
"1112","test","9","LAYING","tGravityAcc-mean-Y",-0.1191541962
"1113","test","9","LAYING","tGravityAcc-mean-Z",0.9578730416
"1114","test","9","LAYING","tGravityAcc-std-X",-0.9218210626
"1115","test","9","LAYING","tGravityAcc-std-Y",-0.9699944882
"1116","test","9","LAYING","tGravityAcc-std-Z",-0.9712046902
"1117","test","9","LAYING","tGravityAccMag-mean",-0.9308684376
"1118","test","9","LAYING","tGravityAccMag-std",-0.91512680016
"1119","test","9","SITTING","a(tBodyAccJerkMean),gravityMean)",-0.031930473586
"1120","test","9","SITTING","a(tBodyAccMean,gravity)",0.0213074293
"1121","test","9","SITTING","a(tBodyGyroJerkMean,gravityMean)",-0.0944429619
"1122","test","9","SITTING","a(tBodyGyroMean,gravityMean)",0.01983366452
"1123","test","9","SITTING","a(X,gravityMean)",-0.8064137502
"1124","test","9","SITTING","a(Y,gravityMean)",0.1131528324
"1125","test","9","SITTING","a(Z,gravityMean)",-0.041913115972
"1126","test","9","SITTING","fBodyAcc-mean-X",-0.959413594
"1127","test","9","SITTING","fBodyAcc-mean-X.1",-0.109383841734
"1128","test","9","SITTING","fBodyAcc-mean-Y",-0.911683219
"1129","test","9","SITTING","fBodyAcc-mean-Y.1",-0.120093395898
"1130","test","9","SITTING","fBodyAcc-mean-Z",-0.8922013438
"1131","test","9","SITTING","fBodyAcc-mean-Z.1",-0.1317488734546
"1132","test","9","SITTING","fBodyAcc-std-X",-0.956903459
"1133","test","9","SITTING","fBodyAcc-std-Y",-0.86761360746
"1134","test","9","SITTING","fBodyAcc-std-Z",-0.818001834824
"1135","test","9","SITTING","fBodyAccJerk-mean-X",-0.9655962396
"1136","test","9","SITTING","fBodyAccJerk-mean-X.1",0.02039798558
"1137","test","9","SITTING","fBodyAccJerk-mean-Y",-0.9580073906
"1138","test","9","SITTING","fBodyAccJerk-mean-Y.1",-0.27190085077
"1139","test","9","SITTING","fBodyAccJerk-mean-Z",-0.9575269752
"1140","test","9","SITTING","fBodyAccJerk-mean-Z.1",-0.267665734806
"1141","test","9","SITTING","fBodyAccJerk-std-X",-0.9666604036
"1142","test","9","SITTING","fBodyAccJerk-std-Y",-0.9585229866
"1143","test","9","SITTING","fBodyAccJerk-std-Z",-0.9649413418
"1144","test","9","SITTING","fBodyAccJerkMag-mean",-0.9530504408
"1145","test","9","SITTING","fBodyAccJerkMag-mean.1",0.0974700202614
"1146","test","9","SITTING","fBodyAccJerkMag-std",-0.9493949814
"1147","test","9","SITTING","fBodyAccMag-mean",-0.8977181972
"1148","test","9","SITTING","fBodyAccMag-mean.1",-0.08061344386
"1149","test","9","SITTING","fBodyAccMag-std",-0.8691725114
"1150","test","9","SITTING","fBodyGyro-mean-X",-0.950315237
"1151","test","9","SITTING","fBodyGyro-mean-X.1",-0.128144114548
"1152","test","9","SITTING","fBodyGyro-mean-Y",-0.9396930078
"1153","test","9","SITTING","fBodyGyro-mean-Y.1",-0.359739581712
"1154","test","9","SITTING","fBodyGyro-mean-Z",-0.940312313
"1155","test","9","SITTING","fBodyGyro-mean-Z.1",-0.17324215306
"1156","test","9","SITTING","fBodyGyro-std-X",-0.9618360162
"1157","test","9","SITTING","fBodyGyro-std-Y",-0.910583361
"1158","test","9","SITTING","fBodyGyro-std-Z",-0.9341874784
"1159","test","9","SITTING","fBodyGyroJerkMag-mean",-0.9683155878
"1160","test","9","SITTING","fBodyGyroJerkMag-mean.1",0.031534866288
"1161","test","9","SITTING","fBodyGyroJerkMag-std",-0.9659970148
"1162","test","9","SITTING","fBodyGyroMag-mean",-0.9344377378
"1163","test","9","SITTING","fBodyGyroMag-mean.1",-0.19597005159
"1164","test","9","SITTING","fBodyGyroMag-std",-0.9064712292
"1165","test","9","SITTING","tBodyAcc-mean-X",0.24832674354
"1166","test","9","SITTING","tBodyAcc-mean-Y",-0.02701677698
"1167","test","9","SITTING","tBodyAcc-mean-Z",-0.07537846886
"1168","test","9","SITTING","tBodyAcc-std-X",-0.9572277914
"1169","test","9","SITTING","tBodyAcc-std-Y",-0.875141405
"1170","test","9","SITTING","tBodyAcc-std-Z",-0.83200187268
"1171","test","9","SITTING","tBodyAccJerk-mean-X",0.077005006374
"1172","test","9","SITTING","tBodyAccJerk-mean-Y",0.009817397262
"1173","test","9","SITTING","tBodyAccJerk-mean-Z",-0.008674672651
"1174","test","9","SITTING","tBodyAccJerk-std-X",-0.9645358564
"1175","test","9","SITTING","tBodyAccJerk-std-Y",-0.9567775448
"1176","test","9","SITTING","tBodyAccJerk-std-Z",-0.9618894376
"1177","test","9","SITTING","tBodyAccJerkMag-mean",-0.964383757
"1178","test","9","SITTING","tBodyAccJerkMag-std",-0.9517802432
"1179","test","9","SITTING","tBodyAccMag-mean",-0.8933617176
"1180","test","9","SITTING","tBodyAccMag-std",-0.8637564342
"1181","test","9","SITTING","tBodyGyro-mean-X",-0.042328876778
"1182","test","9","SITTING","tBodyGyro-mean-Y",-0.04142711812
"1183","test","9","SITTING","tBodyGyro-mean-Z",0.0807919285908
"1184","test","9","SITTING","tBodyGyro-std-X",-0.9590200492
"1185","test","9","SITTING","tBodyGyro-std-Y",-0.9191882264
"1186","test","9","SITTING","tBodyGyro-std-Z",-0.9301768338
"1187","test","9","SITTING","tBodyGyroJerk-mean-X",-0.0930708106
"1188","test","9","SITTING","tBodyGyroJerk-mean-Y",-0.046663441472
"1189","test","9","SITTING","tBodyGyroJerk-mean-Z",-0.052841489994
"1190","test","9","SITTING","tBodyGyroJerk-std-X",-0.9645323452
"1191","test","9","SITTING","tBodyGyroJerk-std-Y",-0.9719274472
"1192","test","9","SITTING","tBodyGyroJerk-std-Z",-0.9687388914
"1193","test","9","SITTING","tBodyGyroJerkMag-mean",-0.9733641366
"1194","test","9","SITTING","tBodyGyroJerkMag-std",-0.9663610734
"1195","test","9","SITTING","tBodyGyroMag-mean",-0.9032355368
"1196","test","9","SITTING","tBodyGyroMag-std",-0.9066063206
"1197","test","9","SITTING","tGravityAcc-mean-X",0.9163245106
"1198","test","9","SITTING","tGravityAcc-mean-Y",-0.0414258228938
"1199","test","9","SITTING","tGravityAcc-mean-Z",0.085263099144
"1200","test","9","SITTING","tGravityAcc-std-X",-0.9552804062
"1201","test","9","SITTING","tGravityAcc-std-Y",-0.94645197
"1202","test","9","SITTING","tGravityAcc-std-Z",-0.88585411242
"1203","test","9","SITTING","tGravityAccMag-mean",-0.8933617176
"1204","test","9","SITTING","tGravityAccMag-std",-0.8637564342
"1205","test","9","STANDING","a(tBodyAccJerkMean),gravityMean)",0.00486631672888889
"1206","test","9","STANDING","a(tBodyAccMean,gravity)",0.0116017230222222
"1207","test","9","STANDING","a(tBodyGyroJerkMean,gravityMean)",0.0328201066444444
"1208","test","9","STANDING","a(tBodyGyroMean,gravityMean)",0.0457096772222222
"1209","test","9","STANDING","a(X,gravityMean)",-0.859607609333333
"1210","test","9","STANDING","a(Y,gravityMean)",0.0909985561777778
"1211","test","9","STANDING","a(Z,gravityMean)",0.0154296719333333
"1212","test","9","STANDING","fBodyAcc-mean-X",-0.971662692
"1213","test","9","STANDING","fBodyAcc-mean-X.1",-0.105711680368889
"1214","test","9","STANDING","fBodyAcc-mean-Y",-0.944849431777778
"1215","test","9","STANDING","fBodyAcc-mean-Y.1",-0.00378721862222222
"1216","test","9","STANDING","fBodyAcc-mean-Z",-0.941686874222222
"1217","test","9","STANDING","fBodyAcc-mean-Z.1",0.000165424148888888
"1218","test","9","STANDING","fBodyAcc-std-X",-0.977579248444444
"1219","test","9","STANDING","fBodyAcc-std-Y",-0.938790016888889
"1220","test","9","STANDING","fBodyAcc-std-Z",-0.913896832222222
"1221","test","9","STANDING","fBodyAccJerk-mean-X",-0.971313768666667
"1222","test","9","STANDING","fBodyAccJerk-mean-X.1",-0.0235041479111111
"1223","test","9","STANDING","fBodyAccJerk-mean-Y",-0.962624298888889
"1224","test","9","STANDING","fBodyAccJerk-mean-Y.1",-0.0981894026
"1225","test","9","STANDING","fBodyAccJerk-mean-Z",-0.967129200444444
"1226","test","9","STANDING","fBodyAccJerk-mean-Z.1",-0.128067958244444
"1227","test","9","STANDING","fBodyAccJerk-std-X",-0.971278823333333
"1228","test","9","STANDING","fBodyAccJerk-std-Y",-0.968234579555556
"1229","test","9","STANDING","fBodyAccJerk-std-Z",-0.972588748666667
"1230","test","9","STANDING","fBodyAccJerkMag-mean",-0.963242884
"1231","test","9","STANDING","fBodyAccJerkMag-mean.1",0.200537688288889
"1232","test","9","STANDING","fBodyAccJerkMag-std",-0.963593159555556
"1233","test","9","STANDING","fBodyAccMag-mean",-0.946330171777778
"1234","test","9","STANDING","fBodyAccMag-mean.1",0.0235738706622222
"1235","test","9","STANDING","fBodyAccMag-std",-0.940265546444444
"1236","test","9","STANDING","fBodyGyro-mean-X",-0.916974437555556
"1237","test","9","STANDING","fBodyGyro-mean-X.1",-0.222857823644444
"1238","test","9","STANDING","fBodyGyro-mean-Y",-0.954514301555556
"1239","test","9","STANDING","fBodyGyro-mean-Y.1",-0.348959970422222
"1240","test","9","STANDING","fBodyGyro-mean-Z",-0.941510336
"1241","test","9","STANDING","fBodyGyro-mean-Z.1",-0.16576126334
"1242","test","9","STANDING","fBodyGyro-std-X",-0.924738576444444
"1243","test","9","STANDING","fBodyGyro-std-Y",-0.941950576888889
"1244","test","9","STANDING","fBodyGyro-std-Z",-0.944942811777778
"1245","test","9","STANDING","fBodyGyroJerkMag-mean",-0.967491628
"1246","test","9","STANDING","fBodyGyroJerkMag-mean.1",0.0243650848444444
"1247","test","9","STANDING","fBodyGyroJerkMag-std",-0.964770799111111
"1248","test","9","STANDING","fBodyGyroMag-mean",-0.929769067777778
"1249","test","9","STANDING","fBodyGyroMag-mean.1",-0.174953568622222
"1250","test","9","STANDING","fBodyGyroMag-std",-0.910909659555556
"1251","test","9","STANDING","tBodyAcc-mean-X",0.282310057333333
